dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.770813,5.203761,0.000198,0.019820,0.990991,49.549550,1.046225
0.020000,3.770808,5.203752,0.000209,0.000530,-0.964480,-97.773568,1.046187
0.020000,3.770796,5.203731,0.000233,0.001203,0.033640,49.906033,1.046103
0.020000,3.772261,5.206263,0.003158,0.146280,7.253853,361.010655,1.045959
0.020000,3.774318,5.209814,0.007262,0.205194,2.945674,-215.408951,1.045754
0.020000,3.776962,5.214377,0.012536,0.263707,2.925663,-1.000561,1.045482
0.020000,3.780194,5.219951,0.018979,0.322136,2.921460,-0.210142,1.045138
0.020000,3.784014,5.226532,0.026588,0.380464,2.916401,-0.252964,1.044714
0.020000,3.788421,5.234118,0.035362,0.438666,2.910120,-0.314062,1.044201
0.020000,3.793417,5.242705,0.045296,0.496729,2.903142,-0.348890,1.043590
0.020000,3.799001,5.252289,0.056389,0.554627,2.894902,-0.412015,1.042869
0.020000,3.805175,5.262866,0.068636,0.612341,2.885702,-0.459986,1.042025
0.020000,3.811939,5.274431,0.082033,0.669855,2.875662,-0.501975,1.041044
0.020000,3.819295,5.286976,0.096576,0.727142,2.864381,-0.564095,1.039910
0.020000,3.827244,5.300496,0.112259,0.784176,2.851699,-0.634095,1.038606
0.020000,3.835789,5.314982,0.129078,0.840943,2.838324,-0.668737,1.037111
0.020000,3.844932,5.330427,0.147026,0.897406,2.823150,-0.758694,1.035406
0.020000,3.854678,5.346820,0.166097,0.953551,2.807260,-0.794497,1.033467
0.020000,3.865029,5.364150,0.186284,1.009340,2.789461,-0.889933,1.031270
0.020000,3.875991,5.382407,0.207579,1.064745,2.770229,-0.961639,1.028787
0.020000,3.887570,5.401576,0.229974,1.119732,2.749372,-1.042860,1.025990
0.020000,3.899773,5.421642,0.253459,1.174268,2.726816,-1.127782,1.022845
0.020000,3.912607,5.442590,0.278025,1.228318,2.702454,-1.218106,1.019320
0.020000,3.926082,5.464399,0.303662,1.281821,2.675190,-1.363168,1.015375
0.020000,3.940207,5.487051,0.330357,1.334750,2.646444,-1.437330,1.010970
0.020000,3.954996,5.510521,0.358097,1.387035,2.614218,-1.611281,1.006060
0.020000,3.970460,5.534784,0.386870,1.438631,2.579833,-1.719254,1.000597
0.020000,3.986615,5.559812,0.416659,1.489455,2.541198,-1.931742,0.994525
0.020000,4.003478,5.585573,0.447448,1.539455,2.500010,-2.059409,0.987787
0.020000,4.021067,5.612031,0.479219,1.588526,2.453525,-2.324258,0.980318
0.020000,4.039401,5.639145,0.511950,1.636583,2.402850,-2.533758,0.972046
0.020000,4.058504,5.666873,0.545621,1.683532,2.347451,-2.769951,0.962892
0.020000,4.078399,5.695162,0.580206,1.729229,2.284839,-3.130565,0.952770
0.020000,4.099111,5.723958,0.615677,1.773570,2.217041,-3.389920,0.941583
0.020000,4.120669,5.753198,0.652005,1.816382,2.140620,-3.821063,0.929224
0.020000,4.143102,5.782811,0.689155,1.857526,2.057198,-4.171074,0.915575
0.020000,4.166441,5.812718,0.727091,1.896798,1.963625,-4.678681,0.900505
0.020000,4.190606,5.842695,0.765596,1.925227,1.421411,-27.110677,0.883948
0.020000,4.215401,5.872389,0.804280,1.934221,0.449712,-48.584962,0.865931
0.020000,4.240617,5.901463,0.842766,1.924284,-0.496847,-47.327945,0.846516
0.020000,4.266148,5.929732,0.880858,1.904602,-0.984084,-24.361863,0.825716
0.020000,4.291998,5.957146,0.918537,1.883951,-1.032549,-2.423246,0.803462
0.020000,4.318168,5.983650,0.955784,1.862371,-1.078997,-2.322377,0.779688
0.020000,4.344659,6.009191,0.992583,1.839918,-1.122655,-2.182907,0.754334
0.020000,4.371465,6.033718,1.028916,1.816688,-1.161507,-1.942619,0.727344
0.020000,4.398583,6.057177,1.064773,1.792826,-1.193092,-1.579216,0.698674
0.020000,4.426005,6.079518,1.100144,1.768547,-1.213979,-1.044348,0.668295
0.020000,4.453723,6.100696,1.135026,1.744102,-1.222240,-0.413070,0.636195
0.020000,4.481728,6.120667,1.169423,1.719842,-1.213002,0.461879,0.602387
0.020000,4.510013,6.139394,1.203346,1.696155,-1.184364,1.431922,0.566911
0.020000,4.538573,6.156847,1.236816,1.673514,-1.132028,2.616810,0.529841
0.020000,4.567405,6.173002,1.269865,1.652434,-1.053989,3.901933,0.491288
0.020000,4.596509,6.187840,1.302534,1.633458,-0.948786,5.260170,0.451398
0.020000,4.625894,6.201352,1.334877,1.617130,-0.816445,6.617046,0.410359
0.020000,4.655571,6.213532,1.366956,1.603954,-0.658798,7.882348,0.368392
0.020000,4.685556,6.224381,1.398843,1.594357,-0.479849,8.947439,0.325750
