dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.583042,4.124592,0.000198,0.019820,0.990991,49.549550,3.144521
0.020000,5.582737,4.124591,0.000503,0.015260,-0.228003,-60.949717,3.143446
0.020000,5.581634,4.124591,0.001606,0.055125,1.993245,111.062424,3.141029
0.020000,5.577517,4.124601,0.005723,0.205846,7.536064,277.140921,3.137001
0.020000,5.571754,4.124644,0.011486,0.288166,4.116004,-171.002987,3.131363
0.020000,5.564345,4.124747,0.018896,0.370492,4.116302,0.014890,3.124115
0.020000,5.555292,4.124945,0.027951,0.452753,4.113033,-0.163434,3.115261
0.020000,5.544598,4.125282,0.038650,0.534940,4.109385,-0.182377,3.104806
0.020000,5.532270,4.125811,0.050989,0.616967,4.101335,-0.402526,3.092762
0.020000,5.518317,4.126588,0.064964,0.698757,4.089507,-0.591402,3.079145
0.020000,5.502751,4.127680,0.080568,0.780203,4.072299,-0.860368,3.063980
0.020000,5.485592,4.129158,0.097791,0.861141,4.046891,-1.270439,3.047302
0.020000,5.466864,4.131101,0.116620,0.941443,4.015109,-1.589083,3.029156
0.020000,5.446598,4.133591,0.137038,1.020874,3.971534,-2.178769,3.009603
0.020000,5.424837,4.136712,0.159022,1.099210,3.916816,-2.735899,2.988721
0.020000,5.401628,4.140551,0.182546,1.176217,3.850326,-3.324466,2.966603
0.020000,5.377030,4.145196,0.207579,1.251635,3.770895,-3.971589,2.943360
0.020000,5.351111,4.150731,0.234083,1.325190,3.677762,-4.656605,2.919125
0.020000,5.323946,4.157236,0.262015,1.396614,3.571213,-5.327460,2.894047
0.020000,5.295622,4.164786,0.291328,1.465674,3.452989,-5.911227,2.868292
0.020000,5.266228,4.173445,0.321971,1.532153,3.323955,-6.451666,2.842043
0.020000,5.235860,4.183269,0.353889,1.595884,3.186537,-6.870898,2.815492
0.020000,5.204616,4.194304,0.387024,1.656747,3.043152,-7.169290,2.788843
0.020000,5.172595,4.206581,0.421318,1.714692,2.897279,-7.293648,2.762301
0.020000,5.139892,4.220119,0.456712,1.769711,2.750931,-7.317366,2.736071
0.020000,5.106599,4.234927,0.493150,1.821882,2.608555,-7.118811,2.710354
0.020000,5.072800,4.250999,0.530576,1.871305,2.471138,-6.870849,2.685345
0.020000,5.038570,4.268319,0.568938,1.918129,2.341231,-6.495357,2.661224
0.020000,5.003975,4.286862,0.608190,1.962560,2.221523,-5.985403,2.638163
0.020000,4.969070,4.306593,0.648285,2.004774,2.110692,-5.541539,2.616317
0.020000,4.933900,4.327469,0.689184,2.044952,2.008935,-5.087881,2.595829
0.020000,4.898497,4.349439,0.730850,2.083301,1.917430,-4.575229,2.576828
0.020000,4.862885,4.372448,0.773249,2.119938,1.831832,-4.279893,2.559434
0.020000,4.827075,4.396434,0.816349,2.155008,1.753537,-3.914741,2.543758
0.020000,4.791071,4.421327,0.860120,2.188561,1.677612,-3.796264,2.529907
0.020000,4.754869,4.447053,0.904533,2.220614,1.602643,-3.748442,2.517986
0.020000,4.718456,4.473532,0.949555,2.251121,1.525352,-3.864560,2.508104
