dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.582210,4.408590,0.000198,0.019820,0.990991,49.549550,3.144521
0.020000,5.582210,4.408590,0.000991,0.059459,1.981982,49.549550,3.143446
0.020000,5.581794,4.408591,0.002775,0.118919,2.972973,49.549550,3.141029
0.020000,5.578821,4.408598,0.005748,0.178378,2.972973,0.000000,3.137001
0.020000,5.574659,4.408629,0.009910,0.237838,2.972973,-0.000000,3.131363
0.020000,5.569308,4.408703,0.015261,0.297297,2.972973,-0.000000,3.124115
0.020000,5.562769,4.408846,0.021802,0.356757,2.972973,0.000000,3.115261
0.020000,5.555043,4.409090,0.029532,0.416216,2.972973,-0.000000,3.104806
0.020000,5.546133,4.409472,0.038450,0.475676,2.972973,0.000000,3.092762
0.020000,5.536040,4.410034,0.048559,0.535135,2.972973,-0.000000,3.079145
0.020000,5.524771,4.410825,0.059856,0.594595,2.972973,0.000000,3.063980
0.020000,5.512331,4.411897,0.072342,0.654054,2.972973,0.000000,3.047302
0.020000,5.498728,4.413308,0.086018,0.713514,2.972973,0.000000,3.029156
0.020000,5.483975,4.415120,0.100883,0.772973,2.972973,-0.000000,3.009603
0.020000,5.468083,4.417399,0.116937,0.832432,2.972973,0.000000,2.988721
0.020000,5.451072,4.420214,0.134180,0.891892,2.972973,0.000000,2.966603
0.020000,5.432960,4.423634,0.152613,0.951351,2.972973,0.000000,2.943360
0.020000,5.413772,4.427732,0.172234,1.010811,2.972973,-0.000000,2.919125
0.020000,5.393534,4.432579,0.193045,1.070270,2.972973,-0.000000,2.894047
0.020000,5.372276,4.438245,0.215045,1.129730,2.972973,0.000000,2.868292
0.020000,5.350033,4.444798,0.238234,1.189189,2.972973,0.000000,2.842043
0.020000,5.326839,4.452302,0.262613,1.248649,2.972973,0.000000,2.815492
0.020000,5.302732,4.460817,0.288180,1.308108,2.972973,0.000000,2.788843
0.020000,5.277750,4.470396,0.314937,1.367568,2.972973,-0.000000,2.762301
0.020000,5.251930,4.481086,0.342883,1.427027,2.972973,0.000000,2.736071
0.020000,5.225310,4.492926,0.372018,1.486486,2.972973,-0.000000,2.710354
0.020000,5.197925,4.505949,0.402342,1.545946,2.972973,-0.000000,2.685345
0.020000,5.169808,4.520178,0.433856,1.605405,2.972973,0.000000,2.661224
0.020000,5.140985,4.535627,0.466559,1.664865,2.972973,0.000000,2.638163
0.020000,5.111482,4.552306,0.500450,1.724324,2.972973,0.000000,2.616317
0.020000,5.081316,4.570212,0.535532,1.783784,2.972973,0.000000,2.595829
0.020000,5.050499,4.589338,0.571802,1.843243,2.972973,-0.000000,2.576828
0.020000,5.019036,4.609667,0.609261,1.902703,2.972973,0.000000,2.559434
0.020000,4.986926,4.631176,0.647910,1.962162,2.972973,-0.000000,2.543758
0.020000,4.954158,4.653832,0.687748,2.021622,2.972973,-0.000000,2.529907
0.020000,4.920716,4.677598,0.728775,2.081081,2.972973,0.000000,2.517986
0.020000,4.886573,4.702426,0.770991,2.140541,2.972973,0.000000,2.508104
0.020000,4.851853,4.728144,0.814198,2.180180,1.981982,-49.549550,2.500407
0.020000,4.816827,4.754445,0.858000,2.200000,0.990991,-49.549550,2.495029
0.020000,4.781753,4.781013,0.902000,2.200000,0.000000,-49.549550,2.492032
0.020000,4.746727,4.807643,0.946000,2.200000,0.000000,0.000000,2.491417
0.020000,4.711686,4.834254,0.990000,2.200000,0.000000,0.000000,2.493179
