dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.581379,4.692589,0.000198,0.019820,0.990991,49.549550,3.144521
0.020000,5.581684,4.692590,0.000503,0.015260,-0.228003,-60.949717,3.143446
0.020000,5.581954,4.692591,0.000774,0.013521,-0.086936,7.053380,3.141029
0.020000,5.580125,4.692595,0.002603,0.091461,3.896979,199.195752,3.137001
0.020000,5.577564,4.692614,0.005164,0.128041,1.828998,-103.399075,3.131363
0.020000,5.574272,4.692660,0.008457,0.164649,1.830419,0.071057,3.124115
0.020000,5.570247,4.692748,0.012483,0.201293,1.832196,0.088839,3.115261
0.020000,5.565488,4.692898,0.017243,0.238031,1.836928,0.236603,3.104806
0.020000,5.559995,4.693134,0.022742,0.274917,1.844266,0.366929,3.092762
0.020000,5.553764,4.693481,0.028982,0.312040,1.856169,0.595153,3.079145
0.020000,5.546791,4.693970,0.035973,0.349516,1.873813,0.882171,3.063980
0.020000,5.539070,4.694635,0.043722,0.387476,1.897976,1.208148,3.047302
0.020000,5.530593,4.695515,0.052244,0.426108,1.931602,1.681291,3.029156
0.020000,5.521351,4.696650,0.061556,0.465595,1.974342,2.137008,3.009603
0.020000,5.511330,4.698087,0.071680,0.506163,2.028400,2.702908,2.988721
0.020000,5.500516,4.699877,0.082641,0.548065,2.095088,3.334389,2.966603
0.020000,5.488890,4.702072,0.094472,0.591564,2.174965,3.993889,2.943360
0.020000,5.476433,4.704733,0.107211,0.636926,2.268091,4.656258,2.919125
0.020000,5.463121,4.707922,0.120899,0.684409,2.374164,5.303661,2.894047
0.020000,5.448931,4.711704,0.135584,0.734262,2.492666,5.925102,2.868292
0.020000,5.433839,4.716151,0.151318,0.786696,2.621698,6.451606,2.842043
0.020000,5.417819,4.721335,0.168156,0.841881,2.759227,6.876468,2.815492
0.020000,5.400848,4.727330,0.186154,0.899931,2.902489,7.163105,2.788843
0.020000,5.382904,4.734211,0.205372,0.960907,3.048817,7.316401,2.762301
0.020000,5.363967,4.742053,0.225868,1.024799,3.194588,7.288524,2.736071
0.020000,5.344021,4.750926,0.247699,1.091554,3.337758,7.158501,2.710354
0.020000,5.323051,4.760899,0.270920,1.161051,3.474868,6.855483,2.685345
0.020000,5.301046,4.772036,0.295583,1.233134,3.604161,6.464671,2.661224
0.020000,5.277996,4.784392,0.321736,1.307637,3.725145,6.049193,2.638163
0.020000,5.253894,4.798019,0.349423,1.384356,3.835925,5.539024,2.616317
0.020000,5.228732,4.812956,0.378685,1.463089,3.936673,5.037394,2.595829
