dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.020495,7.850345,0.000198,0.019820,0.990991,49.549550,6.283161
0.020000,0.020493,7.850345,0.000200,0.000077,-0.987143,-98.906707,6.283167
0.020000,0.020490,7.850345,0.000203,0.000169,0.004593,49.586797,6.283179
0.020000,0.022419,7.850345,0.002133,0.096489,4.816005,240.570604,0.000012
0.020000,0.026575,7.850345,0.006288,0.207761,5.563604,37.379944,0.000037
0.020000,0.031918,7.850345,0.011632,0.267169,2.970425,-129.658957,0.000065
0.020000,0.038450,7.850346,0.018164,0.326614,2.972206,0.089076,0.000094
0.020000,0.046172,7.850347,0.025886,0.386102,2.974429,0.111141,0.000121
0.020000,0.055085,7.850348,0.034799,0.445643,2.977026,0.129870,0.000142
0.020000,0.065190,7.850349,0.044904,0.505243,2.980025,0.149949,0.000154
0.020000,0.076488,7.850351,0.056202,0.564912,2.983433,0.170399,0.000150
0.020000,0.088981,7.850353,0.068695,0.624657,2.987233,0.189988,0.000127
0.020000,0.102671,7.850354,0.082385,0.684486,2.991450,0.210823,0.000077
0.020000,0.117559,7.850355,0.097273,0.744406,2.996048,0.229909,6.283181
0.020000,0.133648,7.850354,0.113361,0.804428,3.001063,0.250779,6.283059
0.020000,0.150939,7.850350,0.130652,0.864557,3.006482,0.270958,6.282891
0.020000,0.169435,7.850343,0.149149,0.924804,3.012308,0.291297,6.282667
0.020000,0.189139,7.850330,0.168852,0.985175,3.018581,0.313626,6.282378
0.020000,0.210052,7.850309,0.189766,1.045680,3.025223,0.332103,6.282016
0.020000,0.232179,7.850279,0.211892,1.106326,3.032303,0.354016,6.281571
0.020000,0.255521,7.850235,0.235235,1.167122,3.039829,0.376290,6.281031
0.020000,0.280083,7.850174,0.259796,1.228077,3.047760,0.396525,6.280386
0.020000,0.305866,7.850092,0.285580,1.289203,3.056251,0.424569,6.279624
0.020000,0.332876,7.849984,0.312590,1.350503,3.065043,0.439582,6.278732
0.020000,0.361116,7.849844,0.340830,1.411991,3.074368,0.466251,6.277697
0.020000,0.390589,7.849665,0.370304,1.473678,3.084359,0.499587,6.276506
0.020000,0.421299,7.849439,0.401015,1.535569,3.094557,0.509890,6.275143
0.020000,0.453252,7.849158,0.432969,1.597678,3.105437,0.544008,6.273593
0.020000,0.486450,7.848811,0.466169,1.660018,3.117017,0.579004,6.271841
0.020000,0.520900,7.848387,0.500621,1.722596,3.128879,0.593058,6.269869
0.020000,0.556604,7.847872,0.536329,1.785427,3.141540,0.633068,6.267660
0.020000,0.593570,7.847253,0.573300,1.848523,3.154807,0.663358,6.265195
0.020000,0.631800,7.846513,0.611538,1.911897,3.168721,0.695687,6.262453
0.020000,0.671302,7.845635,0.651049,1.975566,3.183462,0.737075,6.259416
0.020000,0.712080,7.844598,0.691840,2.039540,3.198661,0.759921,6.256060
0.020000,0.754139,7.843380,0.733917,2.103841,3.215072,0.820545,6.252364
0.020000,0.797485,7.841956,0.777286,2.168478,3.231871,0.839966,6.248302
0.020000,0.841920,7.840308,0.821752,2.223273,2.739713,-24.607923,6.243872
0.020000,0.887039,7.838426,0.866910,2.257927,1.732701,-50.350568,6.239094
0.020000,0.932436,7.836309,0.912357,2.272318,0.719586,-50.655770,6.234002
0.020000,0.977906,7.833949,0.957888,2.276554,0.211775,-25.390548,6.228610
0.020000,1.023448,7.831332,1.003505,2.280845,0.214565,0.139495,6.222917
0.020000,1.069060,7.828443,1.049209,2.285196,0.217519,0.147704,6.216917
0.020000,1.114742,7.825268,1.095001,2.289611,0.220796,0.163880,6.210606
0.020000,1.160492,7.821790,1.140882,2.294085,0.223658,0.143099,6.203980
0.020000,1.206308,7.817995,1.186855,2.298619,0.226729,0.153556,6.197035
0.020000,1.252186,7.813866,1.232919,2.303217,0.229867,0.156859,6.189765
0.020000,1.298126,7.809387,1.279077,2.307877,0.233001,0.156735,6.182168
0.020000,1.344124,7.804541,1.325329,2.312599,0.236109,0.155390,6.174238
0.020000,1.390175,7.799313,1.371676,2.317382,0.239163,0.152702,6.165971
0.020000,1.436278,7.793684,1.418121,2.322226,0.242204,0.152048,6.157363
0.020000,1.482426,7.787638,1.464663,2.327126,0.244974,0.138476,6.148410
0.020000,1.528615,7.781157,1.511305,2.332079,0.247661,0.134353,6.139108
0.020000,1.574839,7.774224,1.558047,2.337082,0.250180,0.125956,6.129454
0.020000,1.621093,7.766821,1.604889,2.342132,0.252472,0.114612,6.119444
0.020000,1.667370,7.758930,1.651834,2.347222,0.254494,0.101117,6.109075
0.020000,1.713661,7.750533,1.698881,2.352347,0.256281,0.089315,6.098346
0.020000,1.759960,7.741611,1.746031,2.357499,0.257576,0.064745,6.087254
0.020000,1.806256,7.732148,1.793284,2.362669,0.258483,0.045349,6.075797
0.020000,1.852540,7.722125,1.840641,2.367847,0.258936,0.022690,6.063976
0.020000,1.898801,7.711523,1.888101,2.373025,0.258868,-0.003405,6.051790
0.020000,1.945028,7.700326,1.935665,2.378189,0.258223,-0.032256,6.039241
0.020000,1.991208,7.688516,1.983332,2.383328,0.256945,-0.063889,6.026329
0.020000,2.037329,7.676076,2.031100,2.388428,0.255015,-0.096500,6.013058
0.020000,2.083374,7.662989,2.078970,2.393475,0.252340,-0.133791,5.999432
0.020000,2.129331,7.649239,2.126939,2.398449,0.248715,-0.181235,5.985455
0.020000,2.175181,7.634811,2.175005,2.403336,0.244356,-0.217960,5.971134
0.020000,2.220908,7.619691,2.223168,2.408119,0.239107,-0.262421,5.956476
0.020000,2.266494,7.603863,2.271423,2.412777,0.232921,-0.309297,5.941490
0.020000,2.311920,7.587316,2.319769,2.417291,0.225721,-0.360018,5.926186
0.020000,2.357166,7.570038,2.368202,2.421643,0.217579,-0.407092,5.910576
0.020000,2.402212,7.552018,2.416718,2.425812,0.208449,-0.456530,5.894672
0.020000,2.447036,7.533247,2.465314,2.429778,0.198314,-0.506705,5.878489
0.020000,2.491616,7.513717,2.513984,2.433520,0.187067,-0.562365,5.862041
0.020000,2.535930,7.493422,2.562725,2.437018,0.174941,-0.606325,5.845348
0.020000,2.579955,7.472357,2.611530,2.440258,0.161985,-0.647761,5.828426
0.020000,2.623668,7.450519,2.660394,2.443220,0.148071,-0.695736,5.811296
0.020000,2.667046,7.427907,2.709312,2.445886,0.133337,-0.736666,5.793978
0.020000,2.710065,7.404520,2.758277,2.448244,0.117866,-0.773547,5.776493
0.020000,2.752702,7.380362,2.807282,2.450279,0.101754,-0.805621,5.758866
0.020000,2.794934,7.355436,2.856322,2.451981,0.085111,-0.832159,5.741118
0.020000,2.836740,7.329749,2.905389,2.453342,0.068061,-0.852478,5.723275
0.020000,2.878096,7.303307,2.954476,2.454357,0.050742,-0.865962,5.705360
0.020000,2.918983,7.276120,3.003576,2.455023,0.033300,-0.872077,5.687398
0.020000,2.959380,7.248198,3.052683,2.455341,0.015893,-0.870387,5.669415
0.020000,2.999267,7.219556,3.101789,2.455292,-0.002437,-0.916462,5.651434
0.020000,3.038627,7.190206,3.150887,2.454912,-0.019017,-0.829011,5.633479
0.020000,3.077443,7.160163,3.199972,2.454209,-0.035146,-0.806447,5.615576
0.020000,3.115700,7.129446,3.249034,2.453132,-0.053854,-0.935432,5.597746
0.020000,3.153384,7.098070,3.298070,2.451792,-0.066992,-0.656888,5.580013
0.020000,3.190481,7.066055,3.347072,2.450099,-0.084665,-0.883643,5.562398
0.020000,3.226982,7.033420,3.396035,2.448147,-0.097597,-0.646613,5.544920
0.020000,3.262877,7.000185,3.444953,2.445922,-0.111216,-0.680937,5.527600
0.020000,3.298158,6.966371,3.493822,2.443437,-0.124257,-0.652039,5.510454
0.020000,3.332819,6.931998,3.542636,2.440712,-0.136253,-0.599833,5.493501
0.020000,3.366855,6.897089,3.591392,2.437770,-0.147114,-0.543044,5.476754
0.020000,3.400262,6.861663,3.640084,2.434635,-0.156758,-0.482176,5.460228
0.020000,3.433038,6.825743,3.688711,2.431332,-0.165113,-0.417766,5.443935
0.020000,3.465184,6.789350,3.737269,2.427890,-0.172121,-0.350371,5.427886
0.020000,3.496699,6.752504,3.785754,2.424249,-0.182068,-0.497367,5.412090
0.020000,3.527586,6.715226,3.834165,2.420577,-0.183590,-0.076123,5.396556
0.020000,3.557847,6.677537,3.882500,2.416717,-0.192975,-0.469242,5.381291
0.020000,3.587487,6.639455,3.930757,2.412845,-0.193600,-0.031260,5.366300
0.020000,3.616511,6.601001,3.978935,2.408895,-0.197527,-0.196345,5.351588
0.020000,3.644924,6.562192,4.027032,2.404887,-0.200407,-0.143988,5.337158
0.020000,3.672997,6.522492,4.075656,2.431162,1.313770,75.708875,5.316635
0.020000,3.701648,6.479828,4.127047,2.569579,6.920862,280.354565,5.290604
0.020000,3.729450,6.435906,4.179029,2.599082,1.475124,-272.286877,5.262493
0.020000,3.756279,6.390645,4.231644,2.630759,1.583880,5.437806,5.232151
0.020000,3.781996,6.343969,4.284936,2.664590,1.691522,5.382087,5.199425
0.020000,3.806435,6.295806,4.338944,2.700429,1.791959,5.021846,5.164173
0.020000,3.829328,6.246294,4.393492,2.727405,1.348777,-22.159102,5.126424
0.020000,3.850314,6.195848,4.448130,2.731867,0.223129,-56.282391,5.086466
0.020000,3.869072,6.144997,4.502331,2.710039,-1.091416,-65.727269,5.044757
0.020000,3.885418,6.094143,4.555747,2.670841,-1.959919,-43.425115,5.001722
0.020000,3.899297,6.043492,4.608265,2.625875,-2.248300,-14.419071,4.957665
0.020000,3.910693,5.993242,4.659791,2.576326,-2.477450,-11.457479,4.912910
0.020000,3.919627,5.943605,4.710226,2.521724,-2.730086,-12.631838,4.867813
0.020000,3.926154,5.894803,4.759462,2.461804,-2.995992,-13.295301,4.822749
0.020000,3.930371,5.847058,4.807393,2.396537,-3.263330,-13.366878,4.778094
0.020000,3.932408,5.800580,4.853915,2.326137,-3.520024,-12.834679,4.734211
0.020000,3.932428,5.755560,4.898936,2.251031,-3.755280,-11.762819,4.691430
0.020000,3.930620,5.712161,4.942372,2.171823,-3.960392,-10.255594,4.650042
0.020000,3.927187,5.670517,4.984157,2.089227,-4.129801,-8.470455,4.610284
0.020000,3.922346,5.630731,5.024237,2.003995,-4.261617,-6.590816,4.572342
