dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.020481,7.282345,0.000198,0.019820,0.990991,49.549550,6.283161
0.020000,0.020482,7.282345,0.000200,0.000077,-0.987143,-98.906707,6.283167
0.020000,0.020486,7.282345,0.000203,0.000169,0.004593,49.586797,6.283179
0.020000,0.022426,7.282345,0.002144,0.097025,4.842805,241.910607,0.000012
0.020000,0.026595,7.282345,0.006313,0.208455,5.571519,36.435723,0.000037
0.020000,0.031955,7.282345,0.011672,0.267966,2.975536,-129.799160,0.000065
0.020000,0.038504,7.282346,0.018221,0.327440,2.973713,-0.091163,0.000094
0.020000,0.046241,7.282347,0.025958,0.386871,2.971531,-0.109114,0.000121
0.020000,0.055166,7.282348,0.034883,0.446249,2.968923,-0.130407,0.000142
0.020000,0.065277,7.282349,0.044995,0.505568,2.965916,-0.150351,0.000154
0.020000,0.076574,7.282351,0.056291,0.564818,2.962517,-0.169948,0.000150
0.020000,0.089054,7.282353,0.068771,0.623992,2.958708,-0.190453,0.000127
0.020000,0.102715,7.282354,0.082432,0.683082,2.954512,-0.209791,0.000077
0.020000,0.117557,7.282355,0.097274,0.742080,2.949892,-0.230996,6.283181
0.020000,0.133576,7.282354,0.113294,0.800978,2.944880,-0.250588,6.283059
0.020000,0.150772,7.282350,0.130489,0.859767,2.939458,-0.271099,6.282891
0.020000,0.169140,7.282343,0.148858,0.918439,2.933623,-0.291749,6.282667
0.020000,0.188680,7.282330,0.168397,0.976988,2.927407,-0.310810,6.282378
0.020000,0.209388,7.282310,0.189106,1.035402,2.920723,-0.334173,6.282016
0.020000,0.231262,7.282279,0.210979,1.093675,2.913629,-0.354713,6.281571
0.020000,0.254298,7.282236,0.234015,1.151797,2.906117,-0.375615,6.281031
0.020000,0.278493,7.282176,0.258210,1.209760,2.898129,-0.399380,6.280386
0.020000,0.303844,7.282096,0.283561,1.267556,2.889800,-0.416464,6.279624
0.020000,0.330347,7.281990,0.310065,1.325173,2.880849,-0.447551,6.278732
0.020000,0.357999,7.281853,0.337717,1.382602,2.871479,-0.468517,6.277697
0.020000,0.386795,7.281678,0.366514,1.439838,2.861787,-0.484567,6.276506
0.020000,0.416731,7.281458,0.396451,1.496864,2.851289,-0.524925,6.275143
0.020000,0.447804,7.281184,0.427524,1.553672,2.840409,-0.543993,6.273593
0.020000,0.480007,7.280847,0.459729,1.610254,2.829118,-0.564561,6.271841
0.020000,0.513336,7.280437,0.493061,1.666593,2.816958,-0.607985,6.269869
0.020000,0.547786,7.279941,0.527515,1.722681,2.804378,-0.629007,6.267660
0.020000,0.583351,7.279345,0.563085,1.778503,2.791126,-0.662578,6.265195
0.020000,0.620025,7.278636,0.599766,1.834047,2.777175,-0.697547,6.262453
0.020000,0.657802,7.277795,0.637552,1.889299,2.762625,-0.727508,6.259416
0.020000,0.696674,7.276807,0.676437,1.944240,2.747042,-0.779155,6.256060
0.020000,0.736635,7.275650,0.716414,1.998861,2.731063,-0.798955,6.252364
0.020000,0.777675,7.274302,0.757477,2.053138,2.713813,-0.862502,6.248302
0.020000,0.819596,7.272747,0.799426,2.097449,2.215571,-24.912077,6.243872
0.020000,0.862004,7.270978,0.841870,2.122245,1.239810,-48.788059,6.239094
0.020000,0.904511,7.268996,0.884424,2.127680,0.271724,-48.404310,6.234002
0.020000,0.946923,7.266794,0.926893,2.123443,-0.211841,-24.178244,6.228610
0.020000,0.989236,7.264363,0.969276,2.119148,-0.214765,-0.146228,6.222917
0.020000,1.031447,7.261690,1.011572,2.114794,-0.217698,-0.146622,6.216917
0.020000,1.073553,7.258763,1.053779,2.110384,-0.220467,-0.138478,6.210606
0.020000,1.115550,7.255571,1.095898,2.105910,-0.223727,-0.162981,6.203980
0.020000,1.157434,7.252102,1.137925,2.101373,-0.226865,-0.156917,6.197035
0.020000,1.199201,7.248343,1.179861,2.096773,-0.229979,-0.155693,6.189765
0.020000,1.240846,7.244282,1.221703,2.092111,-0.233091,-0.155588,6.182168
0.020000,1.282364,7.239909,1.263451,2.087388,-0.236178,-0.154333,6.174238
0.020000,1.323750,7.235210,1.305103,2.082603,-0.239214,-0.151798,6.165971
0.020000,1.364999,7.230174,1.346658,2.077761,-0.242108,-0.144715,6.157363
0.020000,1.406105,7.224789,1.388115,2.072861,-0.245032,-0.146193,6.148410
0.020000,1.447062,7.219042,1.429473,2.067906,-0.247750,-0.135898,6.139108
0.020000,1.487864,7.212923,1.470731,2.062900,-0.250268,-0.125909,6.129454
0.020000,1.528503,7.206418,1.511888,2.057849,-0.252562,-0.114724,6.119444
0.020000,1.568974,7.199517,1.552943,2.052757,-0.254589,-0.101353,6.109075
0.020000,1.609269,7.192208,1.593896,2.047633,-0.256233,-0.082190,6.098346
0.020000,1.649381,7.184479,1.634746,2.042480,-0.257625,-0.069580,6.087254
