dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.279187,5.488239,0.000198,0.019820,0.990991,49.549550,1.046225
0.020000,3.279192,5.488248,0.000209,0.000530,-0.964480,-97.773568,1.046187
0.020000,3.279204,5.488269,0.000233,0.001203,0.033640,49.906033,1.046103
0.020000,3.280711,5.490872,0.003240,0.150352,7.457457,371.190833,1.045959
0.020000,3.282826,5.494524,0.007460,0.211025,3.033645,-221.190619,1.045754
0.020000,3.285548,5.499221,0.012889,0.271429,3.020174,-0.673550,1.045482
0.020000,3.288878,5.504964,0.019527,0.331917,3.024406,0.211603,1.045138
0.020000,3.292818,5.511753,0.027378,0.392511,3.029695,0.264444,1.044714
0.020000,3.297372,5.519591,0.036442,0.453224,3.035688,0.299658,1.044201
0.020000,3.302542,5.528478,0.046724,0.514083,3.042959,0.363557,1.043590
0.020000,3.308333,5.538416,0.058226,0.575103,3.050963,0.400216,1.042869
0.020000,3.314748,5.549407,0.070952,0.636304,3.060063,0.454996,1.042025
0.020000,3.321793,5.561452,0.084906,0.697713,3.070445,0.519122,1.041044
0.020000,3.329475,5.574553,0.100093,0.759348,3.081768,0.566111,1.039910
0.020000,3.337800,5.588711,0.116518,0.821227,3.093954,0.609316,1.038606
0.020000,3.346776,5.603929,0.134185,0.883384,3.107854,0.695022,1.037111
0.020000,3.356413,5.620207,0.153102,0.945833,3.122442,0.729361,1.035406
0.020000,3.366721,5.637547,0.173274,1.008613,3.139011,0.828471,1.033467
0.020000,3.377712,5.655949,0.194709,1.071743,3.156493,0.874092,1.031270
0.020000,3.389400,5.675414,0.217414,1.135255,3.175605,0.955600,1.028787
0.020000,3.401801,5.695944,0.241398,1.199184,3.196404,1.039962,1.025990
0.020000,3.414932,5.717536,0.266669,1.263566,3.219115,1.135563,1.022845
0.020000,3.428812,5.740191,0.293238,1.328445,3.243979,1.243197,1.019320
0.020000,3.443464,5.763906,0.321115,1.393850,3.270221,1.312076,1.015375
0.020000,3.458914,5.788681,0.350312,1.459847,3.299853,1.481583,1.010970
0.020000,3.475189,5.814510,0.380841,1.526472,3.331256,1.570189,1.006060
0.020000,3.492322,5.841391,0.412717,1.593802,3.366512,1.762777,1.000597
0.020000,3.510347,5.869316,0.445955,1.661883,3.404048,1.876789,0.994525
0.020000,3.529306,5.898279,0.480571,1.730815,3.446587,2.126974,0.987787
0.020000,3.549244,5.928270,0.516585,1.800655,3.492028,2.272029,0.980318
0.020000,3.570210,5.959276,0.554015,1.871509,3.542689,2.533067,0.972046
0.020000,3.592263,5.991285,0.592885,1.943494,3.599221,2.826598,0.962892
0.020000,3.615465,6.024277,0.633219,2.016696,3.660135,3.045716,0.952770
0.020000,3.639888,6.058231,0.675044,2.091282,3.729300,3.458214,0.941583
0.020000,3.665613,6.093121,0.718392,2.167370,3.804374,3.753717,0.929224
0.020000,3.692727,6.128913,0.763295,2.245151,3.889044,4.233483,0.915575
0.020000,3.721333,6.165567,0.809790,2.324778,3.981372,4.616426,0.900505
0.020000,3.751401,6.202866,0.857699,2.395441,3.533142,-22.411503,0.883948
0.020000,3.782756,6.240414,0.906617,2.445911,2.523478,-50.483194,0.865931
0.020000,3.815198,6.277818,0.956130,2.475643,1.486605,-51.843648,0.846516
0.020000,3.848649,6.314854,1.006037,2.495324,0.984079,-25.126331,0.825716
0.020000,3.883172,6.351462,1.056356,2.515954,1.031498,2.370953,0.803462
0.020000,3.918832,6.387573,1.107106,2.537522,1.078412,2.345704,0.779688
0.020000,3.955690,6.423109,1.158305,2.559965,1.122150,2.186917,0.754334
0.020000,3.993809,6.457981,1.209969,2.583180,1.160734,1.929207,0.727344
0.020000,4.033244,6.492092,1.262109,2.607016,1.191815,1.554030,0.698674
0.020000,4.074045,6.525330,1.314735,2.631286,1.213488,1.083644,0.668295
0.020000,4.116252,6.557574,1.367849,2.655702,1.220779,0.364580,0.636195
0.020000,4.159893,6.588691,1.421448,2.679952,1.212519,-0.413020,0.602387
0.020000,4.204981,6.618538,1.475520,2.703612,1.183009,-1.475488,0.566911
0.020000,4.251508,6.646967,1.530045,2.726230,1.130900,-2.605440,0.529841
0.020000,4.299444,6.673822,1.584991,2.747290,1.052966,-3.896717,0.491288
0.020000,4.348734,6.698948,1.640316,2.766247,0.947841,-5.256228,0.451398
0.020000,4.399297,6.722195,1.695967,2.782559,0.815623,-6.610939,0.410359
0.020000,4.451025,6.743424,1.751881,2.795723,0.658194,-7.871446,0.368392
0.020000,4.503785,6.762510,1.807987,2.805302,0.478972,-8.961098,0.325750
0.020000,4.557423,6.779352,1.864207,2.810990,0.284390,-9.729111,0.282707
0.020000,4.611768,6.793874,1.920460,2.812618,0.081402,-10.149399,0.239550
0.020000,4.666640,6.806032,1.976662,2.810134,-0.124193,-10.279708,0.196567
