dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.525000,5.346000,0.000198,0.019820,0.990991,49.549550,1.046225
0.020000,3.525000,5.346000,0.000991,0.059459,1.981982,49.549550,1.046187
0.020000,3.525000,5.346000,0.002775,0.118919,2.972973,49.549550,1.046103
0.020000,3.526486,5.348567,0.005748,0.178378,2.972973,0.000000,1.045959
0.020000,3.528572,5.352169,0.009910,0.237838,2.972973,-0.000000,1.045754
0.020000,3.531255,5.356799,0.015261,0.297297,2.972973,-0.000000,1.045482
0.020000,3.534536,5.362457,0.021802,0.356757,2.972973,0.000000,1.045138
0.020000,3.538416,5.369143,0.029532,0.416216,2.972973,-0.000000,1.044714
0.020000,3.542897,5.376854,0.038450,0.475676,2.972973,0.000000,1.044201
0.020000,3.547980,5.385592,0.048559,0.535135,2.972973,-0.000000,1.043590
0.020000,3.553667,5.395353,0.059856,0.594595,2.972973,0.000000,1.042869
0.020000,3.559961,5.406137,0.072342,0.654054,2.972973,0.000000,1.042025
0.020000,3.566866,5.417941,0.086018,0.713514,2.972973,0.000000,1.041044
0.020000,3.574385,5.430764,0.100883,0.772973,2.972973,-0.000000,1.039910
0.020000,3.582522,5.444603,0.116937,0.832432,2.972973,0.000000,1.038606
0.020000,3.591283,5.459456,0.134180,0.891892,2.972973,0.000000,1.037111
0.020000,3.600673,5.475317,0.152613,0.951351,2.972973,0.000000,1.035406
0.020000,3.610699,5.492183,0.172234,1.010811,2.972973,-0.000000,1.033467
0.020000,3.621371,5.510050,0.193045,1.070270,2.972973,-0.000000,1.031270
0.020000,3.632696,5.528911,0.215045,1.129730,2.972973,0.000000,1.028787
0.020000,3.644686,5.548760,0.238234,1.189189,2.972973,0.000000,1.025990
0.020000,3.657352,5.569589,0.262613,1.248649,2.972973,0.000000,1.022845
0.020000,3.670709,5.591390,0.288180,1.308108,2.972973,0.000000,1.019320
0.020000,3.684773,5.614153,0.314937,1.367568,2.972973,-0.000000,1.015375
0.020000,3.699561,5.637866,0.342883,1.427027,2.972973,0.000000,1.010970
0.020000,3.715092,5.662516,0.372018,1.486486,2.972973,-0.000000,1.006060
0.020000,3.731391,5.688088,0.402342,1.545946,2.972973,-0.000000,1.000597
0.020000,3.748481,5.714564,0.433856,1.605405,2.972973,0.000000,0.994525
0.020000,3.766392,5.741926,0.466559,1.664865,2.972973,0.000000,0.987787
0.020000,3.785155,5.770150,0.500450,1.724324,2.972973,0.000000,0.980318
0.020000,3.804806,5.799211,0.535532,1.783784,2.972973,0.000000,0.972046
0.020000,3.825384,5.829079,0.571802,1.843243,2.972973,-0.000000,0.962892
0.020000,3.846932,5.859720,0.609261,1.902703,2.972973,0.000000,0.952770
0.020000,3.869500,5.891095,0.647910,1.962162,2.972973,-0.000000,0.941583
0.020000,3.893141,5.923159,0.687748,2.021622,2.972973,-0.000000,0.929224
0.020000,3.917915,5.955862,0.728775,2.081081,2.972973,0.000000,0.915575
0.020000,3.943887,5.989143,0.770991,2.140541,2.972973,0.000000,0.900505
0.020000,3.971003,6.022780,0.814198,2.180180,1.981982,-49.549550,0.883948
0.020000,3.999078,6.056401,0.858000,2.200000,0.990991,-49.549550,0.865931
0.020000,4.027907,6.089640,0.902000,2.200000,0.000000,-49.549550,0.846516
0.020000,4.057398,6.122293,0.946000,2.200000,0.000000,0.000000,0.825716
0.020000,4.087585,6.154304,0.990000,2.200000,0.000000,0.000000,0.803462
0.020000,4.118500,6.185611,1.034000,2.200000,0.000000,0.000000,0.779688
0.020000,4.150175,6.216150,1.078000,2.200000,0.000000,0.000000,0.754334
0.020000,4.182637,6.245850,1.122000,2.200000,0.000000,0.000000,0.727344
0.020000,4.215913,6.274634,1.166000,2.200000,0.000000,0.000000,0.698674
0.020000,4.250025,6.302424,1.210000,2.200000,0.000000,0.000000,0.668295
0.020000,4.284987,6.329135,1.254000,2.200000,0.000000,0.000000,0.636195
0.020000,4.320811,6.354679,1.298000,2.200000,0.000000,0.000000,0.602387
0.020000,4.357497,6.378966,1.342000,2.200000,0.000000,0.000000,0.566911
0.020000,4.395041,6.401907,1.386000,2.200000,0.000000,0.000000,0.529841
0.020000,4.433424,6.423412,1.430000,2.200000,0.000000,0.000000,0.491288
0.020000,4.472622,6.443394,1.474000,2.200000,0.000000,0.000000,0.451398
0.020000,4.512596,6.461774,1.518000,2.200000,0.000000,0.000000,0.410359
0.020000,4.553298,6.478478,1.562000,2.200000,0.000000,0.000000,0.368392
0.020000,4.594670,6.493445,1.606000,2.200000,0.000000,0.000000,0.325750
0.020000,4.636646,6.506626,1.650000,2.200000,0.000000,0.000000,0.282707
0.020000,4.679151,6.517984,1.694000,2.200000,0.000000,0.000000,0.239550
0.020000,4.722106,6.527501,1.738000,2.200000,0.000000,0.000000,0.196567
0.020000,4.765429,6.535172,1.782000,2.200000,0.000000,0.000000,0.154036
0.020000,4.809037,6.541009,1.826000,2.200000,0.000000,0.000000,0.112214
0.020000,4.852849,6.545037,1.870000,2.200000,0.000000,0.000000,0.071331
0.020000,4.896788,6.547295,1.914000,2.200000,0.000000,0.000000,0.031580
0.020000,4.940782,6.547834,1.958000,2.200000,0.000000,0.000000,6.276305
0.020000,4.984765,6.546711,2.002000,2.200000,0.000000,0.000000,6.239253
0.020000,5.028679,6.543992,2.046000,2.200000,0.000000,0.000000,6.203691
0.020000,5.072471,6.539747,2.090000,2.200000,0.000000,0.000000,6.169668
0.020000,5.116099,6.534048,2.134000,2.200000,0.000000,0.000000,6.137203
0.020000,5.159524,6.526970,2.178000,2.200000,0.000000,0.000000,6.106292
0.020000,5.202716,6.518587,2.222000,2.200000,0.000000,0.000000,6.076909
0.020000,5.245651,6.508970,2.266000,2.200000,0.000000,0.000000,6.049016
0.020000,5.288309,6.498191,2.310000,2.200000,0.000000,0.000000,6.022560
0.020000,5.330675,6.486316,2.354000,2.200000,0.000000,0.000000,5.997482
0.020000,5.372738,6.473411,2.398000,2.200000,0.000000,0.000000,5.973719
0.020000,5.414493,6.459536,2.442000,2.200000,0.000000,0.000000,5.951203
0.020000,5.455933,6.444749,2.486000,2.200000,0.000000,0.000000,5.929866
0.020000,5.497057,6.429104,2.530000,2.200000,0.000000,0.000000,5.909642
0.020000,5.537864,6.412652,2.574000,2.200000,0.000000,0.000000,5.890465
0.020000,5.578358,6.395441,2.618000,2.200000,0.000000,0.000000,5.872270
0.020000,5.617512,6.378249,2.662000,2.200000,0.000000,0.000000,5.884892
0.020000,5.658532,6.362348,2.706000,2.200000,0.000000,0.000000,5.940092
0.020000,5.700299,6.348521,2.750000,2.200000,0.000000,0.000000,5.985301
0.020000,5.742595,6.336400,2.794000,2.200000,0.000000,0.000000,6.021459
0.020000,5.785257,6.325639,2.838000,2.200000,0.000000,0.000000,6.049456
0.020000,5.828168,6.315915,2.882000,2.200000,0.000000,0.000000,6.070044
0.020000,5.871240,6.306927,2.926000,2.200000,0.000000,0.000000,6.083800
0.020000,5.914404,6.298393,2.970000,2.200000,0.000000,0.000000,6.091117
0.020000,5.957604,6.290040,3.014000,2.200000,0.000000,0.000000,6.092209
0.020000,6.000787,6.281600,3.058000,2.200000,0.000000,0.000000,6.087106
0.020000,6.043899,6.272804,3.102000,2.200000,0.000000,0.000000,6.075661
0.020000,6.086863,6.263377,3.145987,2.198699,-0.065051,-3.252548,6.057551
0.020000,6.129395,6.253077,3.189750,2.177578,-1.056042,-49.549550,6.032408
0.020000,6.171015,6.241723,3.232892,2.136637,-2.047033,-49.549550,6.000003
0.020000,6.211239,6.229177,3.275030,2.077178,-2.972973,-46.297002,5.960283
0.020000,6.249762,6.215303,3.315979,2.017719,-2.972973,0.000000,5.913258
0.020000,6.286435,6.199956,3.355739,1.958259,-2.972973,0.000000,5.858950
0.020000,6.321090,6.183037,3.394309,1.898800,-2.972973,-0.000000,5.797643
0.020000,6.353548,6.164509,3.431691,1.839340,-2.972973,0.000000,5.730006
0.020000,6.383635,6.144407,3.467883,1.779881,-2.972973,0.000000,5.657188
0.020000,6.411200,6.122847,3.502886,1.720421,-2.972973,-0.000000,5.580816
0.020000,6.436139,6.100026,3.536700,1.660962,-2.972973,0.000000,5.502873
0.020000,6.458417,6.076203,3.569325,1.601502,-2.972973,-0.000000,5.425465
0.020000,6.478070,6.051678,3.600760,1.542043,-2.972973,-0.000000,5.350536
0.020000,6.495208,6.026764,3.631006,1.482583,-2.972973,0.000000,5.279640
0.020000,6.509998,6.001758,3.660063,1.423124,-2.972973,0.000000,5.213824
0.020000,6.522644,5.976930,3.687931,1.363665,-2.972973,-0.000000,5.153632
0.020000,6.533369,5.952505,3.714610,1.304205,-2.972973,-0.000000,5.099192
0.020000,6.542397,5.928671,3.740099,1.244746,-2.972973,0.000000,5.050340
0.020000,6.549946,5.905575,3.764400,1.185286,-2.972973,0.000000,5.006731
0.020000,6.556215,5.883332,3.787511,1.125827,-2.972973,-0.000000,4.967928
0.020000,6.561386,5.862030,3.809433,1.066367,-2.972973,0.000000,4.933467
0.020000,6.565619,5.841735,3.830166,1.006908,-2.972973,0.000000,4.902895
0.020000,6.569057,5.822496,3.849709,0.947448,-2.972973,-0.000000,4.875788
0.020000,6.571823,5.804352,3.868063,0.887989,-2.972973,0.000000,4.851766
0.020000,6.574025,5.787329,3.885229,0.828529,-2.972973,0.000000,4.830491
0.020000,6.575757,5.771448,3.901205,0.769070,-2.972973,-0.000000,4.811669
0.020000,6.577099,5.756722,3.915991,0.709610,-2.972973,-0.000000,4.795045
0.020000,6.578122,5.743163,3.929589,0.650151,-2.972973,0.000000,4.780401
0.020000,6.578885,5.730778,3.941997,0.590692,-2.972973,-0.000000,4.767549
0.020000,6.579440,5.719572,3.953217,0.531232,-2.972973,0.000000,4.756332
0.020000,6.579832,5.709550,3.963247,0.471773,-2.972973,0.000000,4.746615
0.020000,6.580097,5.700714,3.972088,0.412313,-2.972973,-0.000000,4.738284
0.020000,6.580269,5.693064,3.979739,0.352854,-2.972973,0.000000,4.731245
0.020000,6.580372,5.686602,3.986202,0.293394,-2.972973,0.000000,4.725421
0.020000,6.580428,5.681329,3.991475,0.233935,-2.972973,0.000000,4.720748
0.020000,6.580455,5.677245,3.995559,0.174475,-2.972973,-0.000000,4.717177
