dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.221072,5.233005,0.000198,0.019820,0.990991,49.549550,0.602432
0.020000,3.221014,5.232965,0.000268,0.003509,-0.815566,-90.327839,0.602679
0.020000,3.220884,5.232875,0.000426,0.007903,0.219736,51.765083,0.603235
0.020000,3.222021,5.233660,0.001808,0.069070,3.058331,141.929770,0.604166
0.020000,3.225139,5.235815,0.005598,0.189530,6.022995,148.233203,0.605474
0.020000,3.229141,5.238590,0.010468,0.243502,2.698637,-166.217902,0.607168
0.020000,3.234022,5.241989,0.016416,0.297372,2.693482,-0.257742,0.609257
0.020000,3.239775,5.246014,0.023437,0.351052,2.683971,-0.475597,0.611751
0.020000,3.246392,5.250670,0.031528,0.404572,2.676016,-0.397745,0.614666
0.020000,3.253863,5.255963,0.040684,0.457776,2.660207,-0.790433,0.618017
0.020000,3.262179,5.261898,0.050901,0.510845,2.653437,-0.338498,0.621823
0.020000,3.271325,5.268482,0.062170,0.563468,2.631172,-1.113254,0.626106
0.020000,3.281288,5.275724,0.074487,0.615849,2.619052,-0.605974,0.630894
0.020000,3.292050,5.283629,0.087841,0.667684,2.591756,-1.364815,0.636214
0.020000,3.303594,5.292208,0.102223,0.719115,2.571517,-1.011955,0.642101
0.020000,3.315896,5.301470,0.117622,0.769924,2.540446,-1.553575,0.648594
0.020000,3.328933,5.311426,0.134026,0.820213,2.514479,-1.298345,0.655736
0.020000,3.342678,5.322085,0.151420,0.869699,2.474300,-2.008916,0.663579
0.020000,3.357100,5.333461,0.169788,0.918420,2.436038,-1.913112,0.672180
0.020000,3.372164,5.345564,0.189111,0.966151,2.386541,-2.474840,0.681606
0.020000,3.387829,5.358407,0.209368,1.012854,2.335184,-2.567864,0.691930
0.020000,3.404051,5.372002,0.230534,1.058289,2.271740,-3.172223,0.703242
0.020000,3.420779,5.386363,0.252581,1.102342,2.202654,-3.454256,0.715638
0.020000,3.437956,5.401500,0.275476,1.144753,2.120549,-4.105280,0.729236
0.020000,3.455515,5.417425,0.299181,1.185258,2.025246,-4.765128,0.744164
0.020000,3.473384,5.434148,0.323655,1.223677,1.920929,-5.215868,0.760578
0.020000,3.491478,5.451676,0.348846,1.259569,1.794602,-6.316321,0.778652
0.020000,3.509700,5.470012,0.374697,1.292529,1.648029,-7.328653,0.798591
0.020000,3.527943,5.489154,0.401140,1.322160,1.481539,-8.324515,0.820629
0.020000,3.546084,5.509096,0.428098,1.347924,1.288169,-9.668528,0.845039
0.020000,3.563984,5.529820,0.455483,1.369232,1.065419,-11.137490,0.872134
0.020000,3.581490,5.551300,0.483192,1.385472,0.811985,-12.671696,0.902274
0.020000,3.598431,5.573491,0.511111,1.395927,0.522775,-14.460504,0.935865
0.020000,3.614620,5.596335,0.539110,1.399958,0.201561,-16.060664,0.973359
0.020000,3.629859,5.619753,0.567050,1.397002,-0.147820,-17.469072,1.015245
0.020000,3.643944,5.643647,0.594786,1.386810,-0.509615,-18.089769,1.062034
0.020000,3.656671,5.667904,0.622179,1.369635,-0.858711,-17.454792,1.114217
0.020000,3.667807,5.692294,0.648991,1.340574,-1.453066,-29.717723,1.171935
0.020000,3.677142,5.716504,0.674938,1.297384,-2.159515,-35.322488,1.234787
0.020000,3.684577,5.740287,0.699856,1.245894,-2.574469,-20.747662,1.301961
0.020000,3.690131,5.763590,0.723812,1.197794,-2.405024,8.472228,1.372521
0.020000,3.693886,5.786553,0.747080,1.163407,-1.719353,34.283574,1.445502
0.020000,3.695908,5.809390,0.770007,1.146341,-0.853282,43.303532,1.519684
0.020000,3.696229,5.832361,0.792980,1.148635,0.114667,48.397453,1.593706
0.020000,3.694837,5.855725,0.816385,1.170257,1.081134,48.323368,1.666204
0.020000,3.691683,5.879700,0.840567,1.209111,1.942690,43.077796,1.735968
0.020000,3.686700,5.904434,0.865798,1.261548,2.621868,33.958859,1.802039
0.020000,3.679827,5.929991,0.892262,1.323220,3.083553,23.084279,1.863769
0.020000,3.671027,5.956358,0.920060,1.389870,3.332502,12.447445,1.920808
0.020000,3.660300,5.983471,0.949217,1.457881,3.400582,3.403991,1.973058
0.020000,3.647683,6.011230,0.979709,1.524559,3.333867,-3.335718,2.020614
0.020000,3.633247,6.039520,1.011470,1.588064,3.175274,-7.929684,2.063699
0.020000,3.617082,6.068229,1.044417,1.647360,2.964799,-10.523718,2.102610
0.020000,3.599298,6.097253,1.078456,1.701955,2.729724,-11.753758,2.137677
