dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.382000,4.999000,0.000198,0.019820,0.990991,49.549550,0.602432
0.020000,3.382000,4.999000,0.000991,0.059459,1.981982,49.549550,0.602679
0.020000,3.382000,4.999000,0.002775,0.118919,2.972973,49.549550,0.603235
0.020000,3.383355,4.999934,0.005748,0.178378,2.972973,0.000000,0.604166
0.020000,3.386778,5.002301,0.009910,0.237838,2.972973,-0.000000,0.605474
0.020000,3.391176,5.005350,0.015261,0.297297,2.972973,-0.000000,0.607168
0.020000,3.396543,5.009088,0.021802,0.356757,2.972973,0.000000,0.609257
0.020000,3.402877,5.013519,0.029532,0.416216,2.972973,-0.000000,0.611751
0.020000,3.410171,5.018652,0.038450,0.475676,2.972973,0.000000,0.614666
0.020000,3.418418,5.024494,0.048559,0.535135,2.972973,-0.000000,0.618017
0.020000,3.427614,5.031058,0.059856,0.594595,2.972973,0.000000,0.621823
0.020000,3.437747,5.038353,0.072342,0.654054,2.972973,0.000000,0.626106
0.020000,3.448810,5.046394,0.086018,0.713514,2.972973,0.000000,0.630894
0.020000,3.460790,5.055194,0.100883,0.772973,2.972973,-0.000000,0.636214
0.020000,3.473675,5.064770,0.116937,0.832432,2.972973,0.000000,0.642101
0.020000,3.487450,5.075141,0.134180,0.891892,2.972973,0.000000,0.648594
0.020000,3.502100,5.086328,0.152613,0.951351,2.972973,0.000000,0.655736
0.020000,3.517605,5.098352,0.172234,1.010811,2.972973,-0.000000,0.663579
0.020000,3.533945,5.111240,0.193045,1.070270,2.972973,-0.000000,0.672180
0.020000,3.551095,5.125020,0.215045,1.129730,2.972973,0.000000,0.681606
0.020000,3.569028,5.139722,0.238234,1.189189,2.972973,0.000000,0.691930
0.020000,3.587712,5.155381,0.262613,1.248649,2.972973,0.000000,0.703242
0.020000,3.607111,5.172035,0.288180,1.308108,2.972973,0.000000,0.715638
0.020000,3.627185,5.189726,0.314937,1.367568,2.972973,-0.000000,0.729236
0.020000,3.647885,5.208500,0.342883,1.427027,2.972973,0.000000,0.744164
0.020000,3.669157,5.228408,0.372018,1.486486,2.972973,-0.000000,0.760578
0.020000,3.690937,5.249508,0.402342,1.545946,2.972973,-0.000000,0.778652
0.020000,3.713150,5.271860,0.433856,1.605405,2.972973,0.000000,0.798591
0.020000,3.735710,5.295534,0.466559,1.664865,2.972973,0.000000,0.820629
0.020000,3.758515,5.320605,0.500450,1.724324,2.972973,0.000000,0.845039
0.020000,3.781444,5.347153,0.535532,1.783784,2.972973,0.000000,0.872134
0.020000,3.804356,5.375269,0.571802,1.843243,2.972973,-0.000000,0.902274
0.020000,3.827083,5.405044,0.609261,1.902703,2.972973,0.000000,0.935865
0.020000,3.849426,5.436578,0.647910,1.962162,2.972973,-0.000000,0.973359
0.020000,3.871149,5.469968,0.687748,2.021622,2.972973,-0.000000,1.015245
0.020000,3.891975,5.505312,0.728775,2.081081,2.972973,0.000000,1.062034
0.020000,3.911580,5.542694,0.770991,2.140541,2.972973,0.000000,1.114217
0.020000,3.929514,5.581997,0.814198,2.180180,1.981982,-49.549550,1.171935
0.020000,3.945260,5.622863,0.858000,2.200000,0.990991,-49.549550,1.234787
0.020000,3.958376,5.664854,0.902000,2.200000,0.000000,-49.549550,1.301961
0.020000,3.968567,5.707648,0.946000,2.200000,0.000000,0.000000,1.372521
0.020000,3.975660,5.751062,0.990000,2.200000,0.000000,0.000000,1.445502
0.020000,3.979537,5.794881,1.034000,2.200000,0.000000,0.000000,1.519684
0.020000,3.980154,5.838867,1.078000,2.200000,0.000000,0.000000,1.593706
0.020000,3.977545,5.882779,1.122000,2.200000,0.000000,0.000000,1.666204
0.020000,3.971818,5.926396,1.166000,2.200000,0.000000,0.000000,1.735968
0.020000,3.963141,5.969524,1.210000,2.200000,0.000000,0.000000,1.802039
0.020000,3.951725,6.012010,1.254000,2.200000,0.000000,0.000000,1.863769
0.020000,3.937807,6.053744,1.298000,2.200000,0.000000,0.000000,1.920808
0.020000,3.921630,6.094657,1.342000,2.200000,0.000000,0.000000,1.973058
0.020000,3.903433,6.134713,1.386000,2.200000,0.000000,0.000000,2.020614
0.020000,3.883440,6.173905,1.430000,2.200000,0.000000,0.000000,2.063699
0.020000,3.861858,6.212245,1.474000,2.200000,0.000000,0.000000,2.102610
0.020000,3.838874,6.249762,1.518000,2.200000,0.000000,0.000000,2.137677
0.020000,3.814654,6.286494,1.562000,2.200000,0.000000,0.000000,2.169238
0.020000,3.789345,6.322484,1.606000,2.200000,0.000000,0.000000,2.197617
0.020000,3.763076,6.357781,1.650000,2.200000,0.000000,0.000000,2.223117
0.020000,3.735961,6.392432,1.694000,2.200000,0.000000,0.000000,2.246016
0.020000,3.708101,6.426487,1.738000,2.200000,0.000000,0.000000,2.266560
0.020000,3.679584,6.459994,1.782000,2.200000,0.000000,0.000000,2.284972
0.020000,3.650486,6.492998,1.826000,2.200000,0.000000,0.000000,2.301444
0.020000,3.620878,6.525546,1.870000,2.200000,0.000000,0.000000,2.316147
0.020000,3.590821,6.557679,1.914000,2.200000,0.000000,0.000000,2.329228
0.020000,3.560371,6.589440,1.958000,2.200000,0.000000,0.000000,2.340816
0.020000,3.529576,6.620867,2.002000,2.200000,0.000000,0.000000,2.351021
0.020000,3.498482,6.651999,2.046000,2.200000,0.000000,0.000000,2.359939
0.020000,3.467131,6.682871,2.090000,2.200000,0.000000,0.000000,2.367650
0.020000,3.435560,6.713519,2.134000,2.200000,0.000000,0.000000,2.374222
0.020000,3.403806,6.743975,2.178000,2.200000,0.000000,0.000000,2.379713
0.020000,3.371900,6.774274,2.222000,2.200000,0.000000,0.000000,2.384170
0.020000,3.339874,6.804446,2.266000,2.200000,0.000000,0.000000,2.387631
0.020000,3.307759,6.834523,2.310000,2.200000,0.000000,0.000000,2.390123
0.020000,3.275583,6.864535,2.354000,2.200000,0.000000,0.000000,2.391667
0.020000,3.243375,6.894513,2.398000,2.200000,0.000000,0.000000,2.392277
0.020000,3.211163,6.924486,2.442000,2.200000,0.000000,0.000000,2.391956
0.020000,3.178974,6.954484,2.486000,2.200000,0.000000,0.000000,2.390703
0.020000,3.148411,6.982484,2.530000,2.200000,0.000000,0.000000,2.409687
0.020000,3.115374,7.011544,2.574000,2.200000,0.000000,0.000000,2.430662
0.020000,3.081731,7.039900,2.618000,2.200000,0.000000,0.000000,2.451901
0.020000,3.047490,7.067532,2.662000,2.200000,0.000000,0.000000,2.473368
0.020000,3.012661,7.094418,2.706000,2.200000,0.000000,0.000000,2.495027
0.020000,2.977256,7.120541,2.750000,2.200000,0.000000,0.000000,2.516837
0.020000,2.941289,7.145884,2.794000,2.200000,0.000000,0.000000,2.538755
0.020000,2.904774,7.170431,2.838000,2.200000,0.000000,0.000000,2.560736
0.020000,2.867727,7.194169,2.882000,2.200000,0.000000,0.000000,2.582736
0.020000,2.830168,7.217087,2.926000,2.200000,0.000000,0.000000,2.604705
0.020000,2.792115,7.239175,2.970000,2.200000,0.000000,0.000000,2.626597
0.020000,2.753589,7.260427,3.014000,2.200000,0.000000,0.000000,2.648364
0.020000,2.714611,7.280839,3.058000,2.200000,0.000000,0.000000,2.669959
0.020000,2.675204,7.300409,3.102000,2.200000,0.000000,0.000000,2.691335
0.020000,2.635389,7.319137,3.146000,2.200000,0.000000,0.000000,2.712450
0.020000,2.595191,7.337027,3.190000,2.200000,0.000000,0.000000,2.733260
0.020000,2.554632,7.354083,3.234000,2.200000,0.000000,0.000000,2.753726
0.020000,2.513736,7.370313,3.278000,2.200000,0.000000,0.000000,2.773810
0.020000,2.472525,7.385726,3.322000,2.200000,0.000000,0.000000,2.793479
