dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.542928,4.764995,0.000198,0.019820,0.990991,49.549550,0.602432
0.020000,3.542986,4.765035,0.000268,0.003509,-0.815566,-90.327839,0.602679
0.020000,3.543116,4.765125,0.000426,0.007903,0.219736,51.765083,0.603235
0.020000,3.544688,4.766209,0.002336,0.095487,4.379195,207.972961,0.604166
0.020000,3.548417,4.768787,0.006870,0.226688,6.560020,109.041253,0.605474
0.020000,3.553210,4.772111,0.012702,0.291610,3.246145,-165.693751,0.607168
0.020000,3.559065,4.776187,0.019836,0.356693,3.254139,0.399692,0.609257
0.020000,3.565978,4.781024,0.028274,0.421902,3.260437,0.314901,0.611751
0.020000,3.573950,4.786634,0.038021,0.487349,3.272378,0.597028,0.614666
0.020000,3.582973,4.793026,0.049080,0.552928,3.278926,0.327410,0.618017
0.020000,3.593049,4.800218,0.061458,0.618945,3.300834,1.095432,0.621823
0.020000,3.604169,4.808223,0.075161,0.685122,3.308883,0.402446,0.626106
0.020000,3.616333,4.817064,0.090197,0.751816,3.334660,1.288832,0.630894
0.020000,3.629530,4.826758,0.106573,0.818775,3.347988,0.666383,0.636214
0.020000,3.643757,4.837332,0.124299,0.886310,3.376717,1.436490,0.642101
0.020000,3.659005,4.848811,0.143385,0.954306,3.399813,1.154787,0.648594
0.020000,3.675267,4.861229,0.163846,1.023066,3.437989,1.908787,0.655736
0.020000,3.692533,4.874619,0.185695,1.092436,3.468514,1.526255,0.663579
0.020000,3.710790,4.889020,0.208949,1.162694,3.512912,2.219914,0.672180
0.020000,3.730027,4.904476,0.233625,1.233823,3.556424,2.175580,0.681606
0.020000,3.750227,4.921038,0.259747,1.306082,3.612969,2.827255,0.691930
0.020000,3.771373,4.938760,0.287337,1.379521,3.671950,2.949063,0.703242
0.020000,3.793444,4.957708,0.316426,1.454413,3.744576,3.631305,0.715638
0.020000,3.816414,4.977952,0.347044,1.530907,3.824728,4.007563,0.729236
0.020000,3.840254,4.999574,0.379228,1.609230,3.916133,4.570289,0.744164
0.020000,3.864929,5.022668,0.413025,1.689819,4.029459,5.666298,0.760578
0.020000,3.890396,5.047339,0.448482,1.772874,4.152763,6.165191,0.778652
0.020000,3.916600,5.073708,0.485658,1.858767,4.294659,7.094806,0.798591
0.020000,3.943478,5.101914,0.524618,1.948030,4.463102,8.422159,0.820629
0.020000,3.970946,5.132113,0.565441,2.041154,4.656222,9.655955,0.845039
0.020000,3.998904,5.164486,0.608216,2.138721,4.878363,11.107065,0.872134
0.020000,4.027222,5.199238,0.653044,2.241419,5.134870,12.825377,0.902274
0.020000,4.055735,5.236598,0.700041,2.349856,5.421874,14.350176,0.935865
0.020000,4.084231,5.276820,0.749336,2.464712,5.742807,16.046667,0.973359
0.020000,4.112438,5.320183,0.801065,2.586488,6.088799,17.299568,1.015245
0.020000,4.140005,5.366976,0.855375,2.715488,6.450004,18.060286,1.062034
0.020000,4.166488,5.417484,0.912405,2.851479,6.799520,17.475802,1.114217
0.020000,4.191221,5.471700,0.971995,2.979532,6.402682,-19.841907,1.171935
0.020000,4.213378,5.529222,1.033637,3.082092,5.128006,-63.733803,1.234787
0.020000,4.232175,5.589421,1.096703,3.153282,3.559462,-78.427220,1.301961
0.020000,4.247003,5.651706,1.160728,3.201283,2.400074,-57.969367,1.372521
0.020000,4.257434,5.715572,1.225440,3.235589,1.715282,-34.239619,1.445502
0.020000,4.263166,5.780371,1.290493,3.252641,0.852609,-43.133632,1.519684
0.020000,4.264079,5.845372,1.355500,3.250360,-0.114060,-48.333477,1.593706
0.020000,4.260254,5.909834,1.420076,3.228771,-1.079455,-48.269750,1.666204
0.020000,4.251953,5.973092,1.483875,3.189991,-1.938991,-42.976768,1.735968
0.020000,4.239581,6.034613,1.546628,3.137643,-2.617381,-33.919540,1.802039
0.020000,4.223624,6.094029,1.608150,3.076074,-3.078441,-23.052967,1.863769
0.020000,4.204588,6.151130,1.668341,3.009535,-3.326949,-12.425423,1.920808
0.020000,4.182961,6.205843,1.727173,2.941607,-3.396410,-3.473043,1.973058
0.020000,4.159182,6.258197,1.784673,2.875034,-3.328683,3.386354,2.020614
0.020000,4.133634,6.308289,1.840905,2.811587,-3.172316,7.818369,2.063699
0.020000,4.106635,6.356261,1.895952,2.752360,-2.961380,10.546787,2.102610
0.020000,4.078451,6.402271,1.949909,2.697815,-2.727226,11.707706,2.137677
0.020000,4.049299,6.446487,2.002870,2.648051,-2.488192,11.951694,2.169238
0.020000,4.019356,6.489071,2.054928,2.602896,-2.257745,11.522327,2.197617
0.020000,3.988764,6.530178,2.106168,2.562038,-2.042916,10.741473,2.223117
0.020000,3.957643,6.569952,2.156670,2.525105,-1.846651,9.813258,2.246016
0.020000,3.926090,6.608523,2.206504,2.491685,-1.671007,8.782179,2.266560
0.020000,3.894183,6.646012,2.255732,2.461412,-1.513647,7.867980,2.284972
0.020000,3.861993,6.682526,2.304410,2.433876,-1.376824,6.841162,2.301444
0.020000,3.829576,6.718163,2.352585,2.408760,-1.255791,6.051644,2.316147
0.020000,3.796981,6.753010,2.400300,2.385741,-1.150953,5.241900,2.329228
0.020000,3.764253,6.787146,2.447591,2.364540,-1.060010,4.547185,2.340816
0.020000,3.731430,6.820644,2.494489,2.344900,-0.982020,3.899493,2.351021
0.020000,3.698547,6.853568,2.541021,2.326624,-0.913780,3.411996,2.359939
0.020000,3.665636,6.885976,2.587211,2.309490,-0.856749,2.851517,2.367650
0.020000,3.632726,6.917924,2.633077,2.293323,-0.808338,2.420555,2.374222
0.020000,3.599846,6.949461,2.678637,2.277974,-0.767461,2.043864,2.379713
0.020000,3.567022,6.980631,2.723903,2.263289,-0.734250,1.660556,2.384170
0.020000,3.534281,7.011477,2.768885,2.249135,-0.707679,1.328568,2.387631
0.020000,3.501650,7.042038,2.813593,2.235389,-0.687306,1.018606,2.390123
0.020000,3.469153,7.072349,2.858032,2.221933,-0.672787,0.725971,2.391667
0.020000,3.436818,7.102445,2.902205,2.208656,-0.663870,0.445849,2.392277
0.020000,3.404673,7.132356,2.946114,2.195450,-0.660299,0.178543,2.391956
0.020000,3.372744,7.162111,2.989758,2.182206,-0.662164,-0.093238,2.390703
0.020000,3.338205,7.193752,3.036600,2.342076,7.993498,432.783106,2.409687
0.020000,3.300695,7.226747,3.086556,2.497808,7.786601,-10.344875,2.430662
0.020000,3.262440,7.258990,3.136586,2.501536,0.186392,-380.010432,2.451901
0.020000,3.223455,7.290450,3.186682,2.504786,0.162489,-1.195158,2.473368
0.020000,3.183757,7.321095,3.236832,2.507506,0.136021,-1.323368,2.495027
0.020000,3.143368,7.350895,3.287025,2.509653,0.107323,-1.434906,2.516837
0.020000,3.102312,7.379823,3.337249,2.511188,0.076762,-1.528084,2.538755
0.020000,3.060616,7.407853,3.387491,2.512083,0.044730,-1.601585,2.560736
0.020000,3.018309,7.434962,3.437738,2.512342,0.012960,-1.588485,2.582736
0.020000,2.975424,7.461129,3.487976,2.511913,-0.021453,-1.720682,2.604705
0.020000,2.931994,7.486339,3.538192,2.510813,-0.055013,-1.677975,2.626597
0.020000,2.888055,7.510577,3.588373,2.509039,-0.088701,-1.684414,2.648364
0.020000,2.843645,7.533834,3.638505,2.506597,-0.122066,-1.668221,2.669959
0.020000,2.798800,7.556104,3.688575,2.503504,-0.154683,-1.630891,2.691335
0.020000,2.753559,7.577385,3.738571,2.499780,-0.186171,-1.574378,2.712450
0.020000,2.707962,7.597677,3.788480,2.495456,-0.216191,-1.500998,2.733260
0.020000,2.662045,7.616986,3.838291,2.490567,-0.244458,-1.413332,2.753726
0.020000,2.615847,7.635321,3.887994,2.485154,-0.270661,-1.310194,2.773810
0.020000,2.569404,7.652691,3.937579,2.479258,-0.294782,-1.206039,2.793479
0.020000,2.522752,7.669114,3.987038,2.472923,-0.316791,-1.100436,2.812701
0.020000,2.475924,7.684605,4.036362,2.466198,-0.336221,-0.971487,2.831450
0.020000,2.428952,7.699185,4.085544,2.459129,-0.353464,-0.862185,2.849701
0.020000,2.381867,7.712877,4.134579,2.451763,-0.368272,-0.740398,2.867433
0.020000,2.334697,7.725705,4.183462,2.444147,-0.380807,-0.626752,2.884629
0.020000,2.287469,7.737694,4.232189,2.436325,-0.391115,-0.515383,2.901273
0.020000,2.240206,7.748872,4.280756,2.428337,-0.399411,-0.414809,2.917355
0.020000,2.192931,7.759267,4.329160,2.420224,-0.405623,-0.310579,2.932866
0.020000,2.145664,7.768908,4.377401,2.412021,-0.410175,-0.227611,2.947798
0.020000,2.098423,7.777826,4.425476,2.403761,-0.413012,-0.141838,2.962149
0.020000,2.051224,7.786050,4.473385,2.395474,-0.414340,-0.066406,2.975916
0.020000,2.004083,7.793611,4.521129,2.387183,-0.414547,-0.010374,2.989100
0.020000,1.957012,7.800540,4.568707,2.378914,-0.413426,0.056052,3.001700
0.020000,1.910022,7.806866,4.616121,2.370687,-0.411380,0.102311,3.013721
0.020000,1.863244,7.812608,4.663251,2.356483,-0.710193,-14.940639,3.025138
0.020000,1.817014,7.817762,4.709767,2.325810,-1.533641,-41.172398,3.035886
0.020000,1.771757,7.822333,4.755254,2.274340,-2.573507,-51.993295,3.045895
0.020000,1.727774,7.826348,4.799420,2.208319,-3.301034,-36.376371,3.055140
0.020000,1.685150,7.829858,4.842188,2.138408,-3.495576,-9.727102,3.063649
0.020000,1.643880,7.832918,4.883571,2.069150,-3.462887,1.634447,3.071468
