dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.020488,7.566345,0.000198,0.019820,0.990991,49.549550,6.283161
0.020000,0.020488,7.566345,0.000991,0.059459,1.981982,49.549550,6.283167
0.020000,0.020488,7.566345,0.002775,0.118919,2.972973,49.549550,6.283179
0.020000,0.022423,7.566345,0.005748,0.178378,2.972973,0.000000,0.000012
0.020000,0.026585,7.566345,0.009910,0.237838,2.972973,-0.000000,0.000037
0.020000,0.031936,7.566345,0.015261,0.297297,2.972973,-0.000000,0.000065
0.020000,0.038477,7.566346,0.021802,0.356757,2.972973,0.000000,0.000094
0.020000,0.046207,7.566347,0.029532,0.416216,2.972973,-0.000000,0.000121
0.020000,0.055126,7.566348,0.038450,0.475676,2.972973,0.000000,0.000142
0.020000,0.065234,7.566349,0.048559,0.535135,2.972973,-0.000000,0.000154
0.020000,0.076531,7.566351,0.059856,0.594595,2.972973,0.000000,0.000150
0.020000,0.089018,7.566353,0.072342,0.654054,2.972973,0.000000,0.000127
0.020000,0.102693,7.566354,0.086018,0.713514,2.972973,0.000000,0.000077
0.020000,0.117558,7.566355,0.100883,0.772973,2.972973,-0.000000,6.283181
0.020000,0.133612,7.566354,0.116937,0.832432,2.972973,0.000000,6.283059
0.020000,0.150855,7.566350,0.134180,0.891892,2.972973,0.000000,6.282891
0.020000,0.169288,7.566343,0.152613,0.951351,2.972973,0.000000,6.282667
0.020000,0.188909,7.566330,0.172234,1.010811,2.972973,-0.000000,6.282378
0.020000,0.209720,7.566309,0.193045,1.070270,2.972973,-0.000000,6.282016
0.020000,0.231720,7.566279,0.215045,1.129730,2.972973,0.000000,6.281571
0.020000,0.254909,7.566235,0.238234,1.189189,2.972973,0.000000,6.281031
0.020000,0.279288,7.566175,0.262613,1.248649,2.972973,0.000000,6.280386
0.020000,0.304855,7.566094,0.288180,1.308108,2.972973,0.000000,6.279624
0.020000,0.331612,7.565987,0.314937,1.367568,2.972973,-0.000000,6.278732
0.020000,0.359557,7.565848,0.342883,1.427027,2.972973,0.000000,6.277697
0.020000,0.388692,7.565671,0.372018,1.486486,2.972973,-0.000000,6.276506
0.020000,0.419015,7.565449,0.402342,1.545946,2.972973,-0.000000,6.275143
0.020000,0.450528,7.565171,0.433856,1.605405,2.972973,0.000000,6.273593
0.020000,0.483229,7.564829,0.466559,1.664865,2.972973,0.000000,6.271841
0.020000,0.517118,7.564412,0.500450,1.724324,2.972973,0.000000,6.269869
0.020000,0.552195,7.563906,0.535532,1.783784,2.972973,0.000000,6.267660
0.020000,0.588461,7.563299,0.571802,1.843243,2.972973,-0.000000,6.265195
0.020000,0.625913,7.562574,0.609261,1.902703,2.972973,0.000000,6.262453
0.020000,0.664552,7.561715,0.647910,1.962162,2.972973,-0.000000,6.259416
0.020000,0.704377,7.560702,0.687748,2.021622,2.972973,-0.000000,6.256060
0.020000,0.745387,7.559515,0.728775,2.081081,2.972973,0.000000,6.252364
0.020000,0.787580,7.558129,0.770991,2.140541,2.972973,0.000000,6.248302
0.020000,0.830758,7.556527,0.814198,2.180180,1.981982,-49.549550,6.243872
0.020000,0.874521,7.554702,0.858000,2.200000,0.990991,-49.549550,6.239094
0.020000,0.918474,7.552652,0.902000,2.200000,0.000000,-49.549550,6.234002
0.020000,0.962414,7.550372,0.946000,2.200000,0.000000,0.000000,6.228610
0.020000,1.006342,7.547848,0.990000,2.200000,0.000000,0.000000,6.222917
0.020000,1.050254,7.545067,1.034000,2.200000,0.000000,0.000000,6.216917
0.020000,1.094148,7.542016,1.078000,2.200000,0.000000,0.000000,6.210606
0.020000,1.138021,7.538681,1.122000,2.200000,0.000000,0.000000,6.203980
0.020000,1.181871,7.535048,1.166000,2.200000,0.000000,0.000000,6.197035
0.020000,1.225694,7.531104,1.210000,2.200000,0.000000,0.000000,6.189765
0.020000,1.269486,7.526835,1.254000,2.200000,0.000000,0.000000,6.182168
0.020000,1.313244,7.522225,1.298000,2.200000,0.000000,0.000000,6.174238
0.020000,1.356963,7.517261,1.342000,2.200000,0.000000,0.000000,6.165971
0.020000,1.400638,7.511929,1.386000,2.200000,0.000000,0.000000,6.157363
0.020000,1.444265,7.506213,1.430000,2.200000,0.000000,0.000000,6.148410
0.020000,1.487838,7.500100,1.474000,2.200000,0.000000,0.000000,6.139108
0.020000,1.531351,7.493573,1.518000,2.200000,0.000000,0.000000,6.129454
0.020000,1.574798,7.486620,1.562000,2.200000,0.000000,0.000000,6.119444
0.020000,1.618172,7.479224,1.606000,2.200000,0.000000,0.000000,6.109075
0.020000,1.661465,7.471370,1.650000,2.200000,0.000000,0.000000,6.098346
0.020000,1.704670,7.463045,1.694000,2.200000,0.000000,0.000000,6.087254
0.020000,1.747779,7.454234,1.738000,2.200000,0.000000,0.000000,6.075797
0.020000,1.790782,7.444921,1.782000,2.200000,0.000000,0.000000,6.063976
0.020000,1.833670,7.435093,1.826000,2.200000,0.000000,0.000000,6.051790
0.020000,1.876433,7.424735,1.870000,2.200000,0.000000,0.000000,6.039241
0.020000,1.919061,7.413833,1.914000,2.200000,0.000000,0.000000,6.026329
0.020000,1.961542,7.402375,1.958000,2.200000,0.000000,0.000000,6.013058
0.020000,2.003866,7.390346,2.002000,2.200000,0.000000,0.000000,5.999432
0.020000,2.046019,7.377734,2.046000,2.200000,0.000000,0.000000,5.985455
0.020000,2.087990,7.364527,2.090000,2.200000,0.000000,0.000000,5.971134
0.020000,2.129765,7.350713,2.134000,2.200000,0.000000,0.000000,5.956476
0.020000,2.171330,7.336282,2.178000,2.200000,0.000000,0.000000,5.941490
0.020000,2.212672,7.321222,2.222000,2.200000,0.000000,0.000000,5.926186
